Location,Latitude,Longitude,Time,Temp_F
Maryville MO,40.346102,-94.872471,2023-07-28 13:33:53,74
ELY MN,47.903237,-91.867087,2023-07-28 13:34:53,71
Death Valley CA,36.5323,-116.93,2023-07-28 13:34:53,75
Maryville MO,40.346102,-94.872471,2023-07-28 13:34:53,73
ELY MN,47.903237,-91.867087,2023-07-28 13:35:53,72
Death Valley CA,36.5323,-116.93,2023-07-28 13:35:53,68
Maryville MO,40.346102,-94.872471,2023-07-28 13:35:53,69
ELY MN,47.903237,-91.867087,2023-07-28 13:36:53,77
Death Valley CA,36.5323,-116.93,2023-07-28 13:36:53,70
Maryville MO,40.346102,-94.872471,2023-07-28 13:36:53,75
